scale,governance,seed,N,M,D1_csi,D1_frag_onset,D1_stab_var,D1_n_comm_g1,D1_mod_g1,D2_max_gini,D2_transition,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D3_entropy,D4_h1_bars,D4_h1_persist,D4_h1_entropy,D4_h1_bars_norm,D4_cycle_rank,D4_cycle_rank_norm,BL_mean_degree,BL_std_degree,BL_max_in_degree,BL_max_out_degree,BL_mean_betweenness,BL_max_betweenness,BL_max_pagerank,BL_diameter,BL_density,MTTD_stew_mean,MTTD_stew_max,MTTD_bc_mean,MTTD_rand_mean,MTTD_stew_undetected
small,well,42,28,44,0.42105263157894735,1.438449888287663,0.16823859705437144,3,0.547861698515306,0.5600840336134454,0,0.055429870029324126,0.007689524131037699,0.6301785451976595,4.474561793458229,17,17.0,4.087462841250315,0.6071428571428571,17,0.6071428571428571,3.142857142857143,0.8748177652797067,2,4,0.0027981277981277983,0.014957264957264958,0.07580550503126851,11,0.0582010582010582,3.0,4.0,2.6666666666666665,2.0,0
small,well,43,28,44,0.7894736842105263,1.438449888287663,0.17406102898031922,3,0.5752535906297056,0.5470383275261324,2,0.036020553415592745,0.004965470220435914,0.5484886547960107,4.476652701674922,17,17.0,4.087462841250315,0.6071428571428571,17,0.6071428571428571,3.142857142857143,0.8329931278350431,2,4,0.0025437525437525437,0.012820512820512822,0.10924702776559467,13,0.0582010582010582,2.6666666666666665,3.0,3.0,2.0,0
small,well,44,28,44,0.5263157894736842,0.12742749857031338,0.16401348539008911,4,0.5461634533850154,0.5373376623376623,2,0.05507392544848609,0.007982809422358758,0.7290532588727379,4.484198983272368,17,18.0,4.058813890331177,0.6071428571428571,17,0.6071428571428571,3.142857142857143,0.7889543583705186,2,4,0.0030525030525030525,0.011396011396011397,0.08329601219424415,10,0.0582010582010582,2.6666666666666665,4.0,2.6666666666666665,2.0,0
small,well,45,28,44,0.7368421052631579,1.8329807108324356,0.1719870699852159,3,0.5781689777466598,0.5498236331569665,0,0.036281110584238135,0.005121481431043705,0.546408271101731,4.475264732322654,17,17.0,4.087462841250315,0.6071428571428571,17,0.6071428571428571,3.142857142857143,0.8329931278350431,2,4,0.002492877492877493,0.00925925925925926,0.0818057877087812,12,0.0582010582010582,3.0,4.0,2.6666666666666665,3.0,0
small,well,46,28,44,0.7894736842105263,0.12742749857031338,0.16560414217762273,3,0.547861698515306,0.5850340136054422,0,0.058165943482145606,0.007855658538737754,0.7107118090758957,4.469699821748314,17,18.0,4.058813890331177,0.6071428571428571,17,0.6071428571428571,3.142857142857143,0.9147320339189786,2,4,0.0027472527472527475,0.014245014245014245,0.08066338518376988,10,0.0582010582010582,2.3333333333333335,3.0,3.0,2.6666666666666665,0
small,well,47,28,44,0.6842105263157895,1.1288378916846888,0.16735531585658373,4,0.5566333534361096,0.5952380952380952,0,0.056214536071278264,0.007585056870741066,0.6439843814644104,4.460248195724693,17,17.0,4.087462841250315,0.6071428571428571,17,0.6071428571428571,3.142857142857143,0.9897433186107872,2,4,0.002747252747252748,0.014245014245014245,0.07067025700319457,10,0.0582010582010582,2.6666666666666665,4.0,2.6666666666666665,2.0,0
small,well,48,28,44,0.631578947368421,1.438449888287663,0.16830429839648522,3,0.5525263179024328,0.5875850340136054,0,0.055824745302916666,0.007533584540063688,0.6301585548690295,4.464388059538381,17,17.0,4.087462841250315,0.6071428571428571,17,0.6071428571428571,3.142857142857143,0.9529760045804525,2,4,0.0027472527472527475,0.014245014245014245,0.06829448654326531,11,0.0582010582010582,2.0,2.0,2.6666666666666665,2.0,0
small,well,49,28,44,0.7368421052631579,0.5455594781168519,0.1699660010569159,4,0.5805395277951346,0.5332225913621262,2,0.05655261872843169,0.007976289325966236,0.6211630494674106,4.478452547832798,17,17.0,4.087462841250315,0.6071428571428571,17,0.6071428571428571,3.142857142857143,0.8329931278350431,2,4,0.0028490028490028496,0.017094017094017096,0.09320796817442349,11,0.0582010582010582,2.3333333333333335,3.0,2.6666666666666665,2.3333333333333335,0
small,well,50,28,44,0.42105263157894735,0.12742749857031338,0.1608756131042816,4,0.5444014743298723,0.5543831168831169,0,0.11949947122432165,0.0168810052521079,0.547824939382257,4.476479255857088,17,19.0,4.037401197654088,0.6071428571428571,17,0.6071428571428571,3.142857142857143,0.8748177652797066,2,4,0.0030525030525030525,0.017094017094017096,0.08409780602903817,8,0.0582010582010582,3.0,3.0,2.6666666666666665,3.0,0
small,well,51,28,44,0.6842105263157895,1.1288378916846888,0.17015713452479295,4,0.5630472050934091,0.5205882352941177,2,0.05414898743495985,0.007836443479571324,0.6873376574776855,4.487175420448036,17,19.0,3.9976702764875895,0.6071428571428571,17,0.6071428571428571,3.142857142857143,0.7423074889580903,2,4,0.0027981277981277983,0.011396011396011397,0.10400324442517807,10,0.0582010582010582,2.6666666666666665,3.0,2.6666666666666665,2.3333333333333335,0
small,baseline,42,32,54,0.8421052631578947,0.42813323987193935,0.13183263556089864,4,0.3953637240305711,0.6114665354330708,0,0.24119316447414854,0.026265943672421185,0.8706947882466052,4.654461888365226,23,23.0,4.523561956056981,0.71875,23,0.71875,3.375,1.340475661845451,3,6,0.0033266129032258063,0.025806451612903226,0.07627598512701722,7,0.05443548387096774,2.625,4.0,2.0,1.75,0
small,baseline,43,32,54,0.631578947368421,0.42813323987193935,0.13048958105948696,5,0.3792942675668668,0.59716796875,0,0.5482572383051756,0.060845747809368834,0.6469883647295263,4.669972677163293,23,23.0,4.523561956056981,0.71875,23,0.71875,3.375,1.2686114456365274,3,5,0.003293010752688172,0.021146953405017918,0.0675139621993164,6,0.05443548387096774,2.25,4.0,2.25,2.5,0
small,baseline,44,32,54,0.631578947368421,0.42813323987193935,0.1283487218572987,5,0.3831654537523424,0.5922379032258065,1,0.5446767325155667,0.06192812769391038,0.6488672755484096,4.674711257946605,23,23.0,4.523561956056981,0.71875,23,0.71875,3.375,1.192424001771182,3,5,0.003125,0.014516129032258065,0.08083069551266629,6,0.05443548387096774,2.125,3.0,2.25,2.125,0
small,baseline,45,32,54,0.631578947368421,0.5455594781168519,0.13469059169262837,6,0.33476755884593623,0.56825,1,0.5930432784682663,0.06665568679799241,0.4682047763687348,4.630183855609518,24,24.0,4.584962500721121,0.75,24,0.75,3.375,1.4086784586980805,3,7,0.0031586021505376344,0.014336917562724013,0.09180830905995523,5,0.05443548387096774,2.5,4.0,2.25,2.25,0
small,baseline,46,32,54,0.631578947368421,0.42813323987193935,0.1292442808231454,7,0.32960463266730855,0.5646146616541353,1,0.44313962880186936,0.055144214496278446,0.8233512011479107,4.683336987461949,23,24.0,4.50162916738779,0.71875,23,0.71875,3.375,1.0825317547305484,3,5,0.0035954301075268816,0.013888888888888888,0.09742979739737544,6,0.05443548387096774,2.0,2.0,2.0,2.125,0
small,baseline,47,32,54,0.631578947368421,0.42813323987193935,0.13177035816843813,5,0.36645214418905236,0.5268895348837209,2,0.44718751381470606,0.050191760662908924,0.76308413347116,4.6712882670071645,23,23.0,4.523561956056981,0.71875,23,0.71875,3.375,1.2183492931011204,3,7,0.0034274193548387098,0.013709677419354839,0.08111261265310568,6,0.05443548387096774,2.25,4.0,2.0,2.0,0
