project,project_id,snapshots,date_start,date_end,span_days,span_years,nodes_first,nodes_last,nodes_min,nodes_max,nodes_peak_date,edges_first,edges_last,edges_min,edges_max,node_growth_multiple,edge_growth_multiple,net_contraction_from_peak_pct,drift_events,drift_events_per_year,median_snapshot_gap_days,max_snapshot_gap_days
PedramNavid/dagster,PedramNavid__dagster,27,2021-07-29,2025-12-19,1604,4.392,3,51,3,51,2025-12-19,2,43,2,43,17.0,21.5,0.0,3,0.68,42.0,200.0
davidgasquez/filecoin-data-portal,davidgasquez__filecoin-data-portal,27,2023-07-05,2026-03-06,975,2.669,3,17,3,17,2025-04-30,1,11,1,13,5.67,11.0,0.0,7,2.62,33.0,127.0
prefeitura-rio/pipelines_rj_smtr,prefeitura-rio__pipelines_rj_smtr,27,2023-12-13,2026-05-15,883,2.418,120,447,19,447,2026-03-10,149,701,6,701,3.73,4.7,0.0,7,2.9,29.0,95.0
sacundim/covid-19-puerto-rico,sacundim__covid-19-puerto-rico,27,2021-11-03,2024-09-03,1034,2.831,52,90,52,97,2023-05-23,54,76,54,83,1.73,1.41,7.2,5,1.77,32.0,157.0
tuva-health/medicare_cclf_connector,tuva-health__medicare_cclf_connector,27,2022-05-18,2026-04-15,1428,3.91,7,40,7,40,2026-04-15,5,50,5,50,5.71,10.0,0.0,5,1.28,38.5,222.0
prefeitura-rio/queries-datario,prefeitura-rio__queries-datario,26,2021-12-06,2024-08-26,994,2.721,2,53,2,55,2024-03-15,1,0,0,1,26.5,0.0,3.6,0,0.0,34.0,164.0
snowplow/dbt-snowplow-web,snowplow__dbt-snowplow-web,26,2021-07-14,2023-11-27,865,2.368,26,29,23,31,2022-11-09,45,32,32,48,1.12,0.71,6.5,5,2.11,34.0,79.0
brooklyn-data/dbt_artifacts,brooklyn-data__dbt_artifacts,25,2021-03-05,2026-07-31,1974,5.405,13,46,13,46,2026-07-31,16,55,11,55,3.54,3.44,0.0,3,0.56,38.5,368.0
fivetran/dbt_netsuite_source,fivetran__dbt_netsuite_source,25,2021-01-08,2025-07-07,1641,4.493,34,84,34,84,2025-04-16,17,42,17,42,2.47,2.47,0.0,0,0.0,72.0,168.0
elementary-data/elementary,elementary-data__elementary,24,2022-07-11,2026-03-04,1331,3.644,2,15,2,18,2024-07-04,0,1,0,4,7.5,,16.7,0,0.0,41.0,358.0
