project_id,repo_url,status,snapshots,date_start,date_end,span_days,span_years,nodes_first,nodes_last,nodes_min,nodes_max,edges_first,edges_last,edges_min,edges_max,node_growth_multiple,edge_growth_multiple,nodes_first_viable,date_first_viable,node_growth_from_first_viable,tier,net_contraction_from_peak_pct,median_giant_component_frac,median_edges_per_node,median_snapshot_gap_days,max_snapshot_gap_days,drift_events,n_dbt_projects_at_head,model_paths,head_sha,stars,license,strata,edge_recall_strict,pct_edges_recovered,pct_nodes_touched_by_recovered,edges_dropped_as_commented_out,median_doc_rate,median_test_rate,error,composition,composition_rule,has_integration_tests,consumes_packages
dbt-labs__dbt-project-evaluator,https://github.com/dbt-labs/dbt-project-evaluator.git,success,37,2022-01-31,2026-06-12,1593,4.36,23,45,22,45,17,45,17,46,1.96,2.65,23,2022-01-31,1.96,core,0.0,1.0,1.0455,35,197,3,0,models;integration_tests_sl/exclude_package/models,95cca3ef924d82ffd44dbbe34132771ab307e218,571,Apache-2.0,S3_code,0.8763,12.37,16.48,1,0.586207,0.590909,,package,ships an integration_tests project,True,True
edanalytics__edu_edfi_source,https://github.com/edanalytics/edu_edfi_source.git,success,37,2022-11-29,2026-08-03,1342,3.67,128,308,128,308,80,192,80,192,2.41,2.4,128,2022-11-29,2.41,extended,0.0,0.0924,0.6279,35,92,3,0,models,a79be439bdbaf66453c3115390ece1836d263445,10,NOASSERTION,S3_code,0.9908,0.92,0.87,0,0.0,0.215447,,estate,"no package, docs or demo signal",False,True
fivetran__dbt_stripe,https://github.com/fivetran/dbt_stripe.git,success,37,2020-06-10,2026-07-21,2232,6.11,10,69,10,69,11,96,8,96,6.9,8.73,10,2020-06-10,6.9,core,0.0,0.75,0.9375,42,223,17,0,models,5159f928fcc54d1cf808550a8d343ef5a4999324,61,Apache-2.0,S2_topic_dbt;S3_code,1.0,0.0,0.0,0,0.608696,0.246377,,package,ships an integration_tests project,True,True
fivetran__dbt_hubspot_source,https://github.com/fivetran/dbt_hubspot_source.git,success,36,2020-07-09,2025-07-29,1846,5.05,36,112,36,112,3,56,3,56,3.11,18.67,36,2020-07-09,3.11,extended,0.0,0.0222,0.5,34,161,0,0,models,bcc7781bd1bda02dd67d69a60fe7f4f5056534b2,46,Apache-2.0,S2_topic_dbt,1.0,0.0,0.0,0,0.5,0.311111,,package,ships an integration_tests project,True,True
fivetran__dbt_stripe_source,https://github.com/fivetran/dbt_stripe_source.git,success,36,2020-06-10,2025-07-30,1875,5.13,13,44,13,44,0,22,0,22,3.38,,13,2020-06-10,3.38,extended,0.0,0.0625,0.5,45,139,0,0,models,97f5fec87f62c5269d5f271c40f3dd790ed96c08,11,Apache-2.0,S2_topic_dbt,1.0,0.0,0.0,0,0.5,0.5,,package,ships an integration_tests project,True,True
fivetran__dbt_zendesk_source,https://github.com/fivetran/dbt_zendesk_source.git,success,36,2020-08-16,2025-07-24,1802,4.93,12,40,9,40,0,20,0,20,3.33,,12,2020-08-16,3.33,extended,0.0,0.0588,0.5,34,142,0,0,models,3aab72b7a0d97e1b6b1b7aa9c2898333fb002cd5,12,Apache-2.0,S2_topic_dbt,1.0,0.0,0.0,0,0.5,0.323529,,package,ships an integration_tests project,True,True
Jam516__BundleBear,https://github.com/Jam516/BundleBear.git,success,35,2023-08-14,2026-08-02,1084,2.97,16,156,16,156,21,248,21,248,9.75,11.81,16,2023-08-14,9.75,core,0.0,0.8462,1.5897,30,66,8,0,models,3bda157caecce7924e43bfe728e7916c337c790d,32,MIT,S3_code,1.0,0.0,0.0,0,0.357895,0.231579,,estate,"no package, docs or demo signal",False,False
fivetran__dbt_hubspot,https://github.com/fivetran/dbt_hubspot.git,success,35,2020-07-09,2026-08-03,2216,6.07,30,205,30,205,12,210,12,210,6.83,17.5,30,2020-07-09,6.83,extended,0.0,0.4848,0.5128,49,216,8,0,models,2ac3ea475a4abe6df7cf60e17aab3b47c0cc7baf,46,Apache-2.0,S2_topic_dbt;S3_code,0.9188,8.12,12.07,0,0.74359,0.846154,,package,ships an integration_tests project,True,True
fivetran__dbt_netsuite,https://github.com/fivetran/dbt_netsuite.git,success,34,2020-04-16,2026-06-22,2258,6.18,7,110,7,110,6,148,6,149,15.71,24.67,20,2022-07-19,5.5,core,0.0,0.6316,1.5,44,306,7,0,models,986fb90aab6ea658bf15c532a094e4f9d8ada1be,56,Apache-2.0,S2_topic_dbt;S3_code,0.9946,0.54,1.51,0,0.7,0.3,,package,ships an integration_tests project,True,True
pass-culture__data-gcp,https://github.com/pass-culture/data-gcp.git,success,34,2023-12-05,2026-08-03,971,2.66,57,432,57,432,92,639,52,639,7.58,6.95,57,2023-12-05,7.58,core,0.0,0.7355,1.467,29,52,23,0,orchestration/dags/data_gcp_dbt/models,98e88a9d4700857b5652ed17a498e0c8d7215233,7,MPL-2.0,S3_code,1.0,0.0,0.0,20,0.330247,0.125,,estate,"no package, docs or demo signal",False,True
